Text_ID,Character_ID,Text_Type,Animation_ID,Text_Formal,Text_Script_1,Text_Script_2,Text_Select1,Text_Select2,Text_Next1,Text_Next2,,,
0,3,3,3,1,"레딘 형, 안녕하세요!","형, 오랜만이에요!",-1,-1,1,-1,,,
1,3,4,4,1,어제 마을 사람들이랑 인사는 하셨어요?,벌써 마을 사람들이랑 인사한 거예요?,아직 다 못 만나봤어요.,-1,2,-1,,,
2,3,3,4,1,그래요? 다들 형이 돌아왔다는 건 알고 있을 거예요.,형이 돌아왔다는 소식에 마을이 시끌벅적해요!,-1,-1,3,-1,,,
3,3,3,4,1,안부라도 전해보는 게 어때요?,다들 형이 인사해 주길 기다리고 있을 거예요.,-1,-1,4,-1,,,
4,3,3,4,1,마을 주민들끼리 다 같이 친하게 지낼 수 있다면 정말 기쁠 거 같아요.,같은 마을 주민끼리는 친하게 지내야 하니까요!,-1,-1,5,-1,,,
5,3,4,4,1,"앗, 강요는 아니지만… ","선택은 레딘 형이 하겠지만, 그래도 저는 말 거는 쪽을 추천할래요!",알겠습니다. 해볼게요.,아직은 여유가 없어 힘들 것 같습니다.,6,7,,,
6,3,3,3,1,좋아요! 응원할게요.,좋아요! 꼭 해주셔야 해요.,-1,-1,-1,-1,,,
7,3,3,3,1,그래요? 나중에라도 인사해 보는 게 좋을 거예요.,아직 많이 바쁜 거예요? 아쉽다…나중에라도 인사 해줄 거죠?,-1,-1,-1,-1,,,
8,3,3,4,1,마을 사람 모두와 인사하신 거예요?,벌써 다한 건 아니죠? 빨리 인사하고 오세요!,-1,-1,-1,-1,,,
9,3,1,4,1,어렸을 땐 형이랑 자주 놀았었는데…,제가 어색한 건 아니죠?,-1,-1,10,-1,,,
10,3,1,4,1,오랜만이라 그런지 조금 어색한 것 같아요.,오랜만이긴 해도 옛날에는 엄청 친했었잖아요.,-1,-1,11,-1,,,
11,3,1,4,1,다시 친하게 지내 줄 거죠?,앞으로 옛날처럼 친하게 지냈으면 좋겠어요!,-1,-1,-1,-1,,,
12,3,1,4,2,마을에서 첫날밤은 잘 보내셨나요?,어제는 잘 주무셨어요?,-1,-1,13,-1,,,
13,3,1,4,2,마을도 시간이 지나면서 많이 변한 것 같아요.,제가 도울 일이 있다면 언제든지 말씀해 주세요!,-1,-1,14,-1,,,
14,3,1,4,2,적응하기 힘들면 저한테 말씀해 주세요!,전 언제든지 마을에 있으니까요.,-1,-1,-1,-1,,,
15,3,2,4,3,더 궁금한 거 있으신가요?,궁금한 거 있으세요?,네.,아니요.,16,17,,,
16,3,1,4,3,앗. 아버지께 가봐야 할 것 같아요.,앗! 죄송해요. 아빠가 부르셔서 가봐야 할 거 같아요.,-1,-1,-1,-1,,,
17,3,1,3,3,오늘은 푹 주무시길 바랄게요! 또 봬요.,혹시 시간 날 때 보석 세공 좀 알려주실 수 있나요? 연락 기다릴게요!,-1,-1,-1,-1,,,
18,3,1,3,4,안녕하세요!,"레딘 형, 안녕하세요!",-1,-1,19,-1,,,
19,3,2,4,4,"아, 아버지께서 말씀해 주셨는데 마을에 마왕님이 방문하신대요.",마을에 마왕님이 온대요! 살짝 긴장되는 것 같기도 하고…,무슨 소식 있나요?,-1,20,-1,,,
20,3,1,4,4,"한 번도 뵌 적 없는데, 옷이라도 장만해야 할까요?","마왕님은 한 번도 본 적 없는데, 어떻게 생기셨을까요?",-1,-1,-1,-1,,,
21,3,2,4,5,레딘 형은 마왕님 뵌 적 있으세요?,레딘 형은 마왕님 뵌 적 있으세요? 있을 거 같아요!,없어요.,-1,22,-1,,,
22,3,1,4,5,그럼 저희 둘 다 첫 만남이겠네요. 어색하진 않겠죠?,정말요? 그러면 저랑 마왕님 생김새 맞추기 하실래요?,-1,-1,-1,-1,,,
23,3,1,3,6,"음, 곧 일할 시간이라 다음에 놀아요!",앗…더 놀고 싶은데 벌써 일할 시간이에요. 꼭 생각해 놓으세요!,-1,-1,-1,-1,,,
24,3,3,3,2,퀘스트 완료,퀘스트 완료,-1,-1,-1,-1,,,
25,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
